[0.116s] Invoking command in '/home/ros2_ws/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake /home/ros2_ws/ros2/src/articubot_one -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/ros2_ws/install/articubot_one
[2.933s] -- The C compiler identification is GNU 13.3.0
[3.684s] -- The CXX compiler identification is GNU 13.3.0
[3.967s] -- Detecting C compiler ABI info
[4.705s] -- Detecting C compiler ABI info - done
[4.814s] -- Check for working C compiler: /usr/bin/cc - skipped
[4.826s] -- Detecting C compile features
[4.865s] -- Detecting C compile features - done
[4.962s] -- Detecting CXX compiler ABI info
[5.822s] -- Detecting CXX compiler ABI info - done
[5.964s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[5.967s] -- Detecting CXX compile features
[5.971s] -- Detecting CXX compile features - done
[6.078s] -- Found ament_cmake: 2.5.2 (/opt/ros/jazzy/share/ament_cmake/cmake)
[7.282s] -- Found Python3: /usr/bin/python3 (found version "3.12.3") found components: Interpreter 
[8.123s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[8.459s] -- Found ament_lint_auto: 0.17.1 (/opt/ros/jazzy/share/ament_lint_auto/cmake)
[9.368s] -- Added test 'copyright' to check source files copyright and LICENSE
[9.576s] -- Added test 'flake8' to check Python code syntax and style conventions
[9.576s] -- Configured 'flake8' exclude dirs and/or files: 
[9.584s] -- Added test 'lint_cmake' to check CMake code style
[9.584s] -- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
[9.639s] -- Added test 'xmllint' to check XML markup files
[9.663s] -- Configuring done (9.1s)
[9.733s] -- Generating done (0.0s)
[9.734s] -- Build files have been written to: /home/ros2_ws/build/articubot_one
[9.837s] Invoked command in '/home/ros2_ws/build/articubot_one' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake /home/ros2_ws/ros2/src/articubot_one -DAMENT_CMAKE_SYMLINK_INSTALL=1 -DCMAKE_INSTALL_PREFIX=/home/ros2_ws/install/articubot_one
[9.846s] Invoking command in '/home/ros2_ws/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --build /home/ros2_ws/build/articubot_one -- -j8 -l8
[10.172s] Invoked command in '/home/ros2_ws/build/articubot_one' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --build /home/ros2_ws/build/articubot_one -- -j8 -l8
[10.336s] Invoking command in '/home/ros2_ws/build/articubot_one': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --install /home/ros2_ws/build/articubot_one
[11.275s] -- Install configuration: ""
[11.276s] -- Execute custom install script
[11.276s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/ball_tracker_params_robot.yaml
[11.277s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/ball_tracker_params_sim.yaml
[11.277s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/drive_bot.rviz
[11.277s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/empty.yaml
[11.277s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/gaz_ros2_ctl_use_sim.yaml
[11.277s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/gazebo_params.yaml
[11.278s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/joystick.yaml
[11.278s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/main.rviz
[11.278s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/map.rviz
[11.278s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/mapper_params_online_async.yaml
[11.279s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/my_controllers.yaml
[11.279s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/nav2_params.yaml
[11.292s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/twist_mux.yaml
[11.313s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/config/view_bot.rviz
[11.321s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/description/camera.xacro
[11.333s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/description/depth_camera.xacro
[11.351s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/description/face.xacro
[11.365s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/description/gazebo_control.xacro
[11.377s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/description/inertial_macros.xacro
[11.393s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/description/lidar.xacro
[11.407s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/description/robot.urdf.xacro
[11.436s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/description/robot_core.xacro
[11.484s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/description/ros2_control.xacro
[11.548s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/launch/ball_tracker.launch.py
[11.631s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/launch/camera.launch.py
[11.692s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/launch/joystick.launch.py
[11.743s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/launch/launch_robot.launch.py
[11.796s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/launch/launch_sim.launch.py
[11.851s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/launch/localization_launch.py
[11.876s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/launch/navigation_launch.py
[11.945s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/launch/online_async_launch.py
[12.012s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/launch/rplidar.launch.py
[12.122s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/launch/rsp.launch.py
[12.208s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/worlds/empty.world
[12.256s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/worlds/obstacles.world
[12.322s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/ament_index/resource_index/package_run_dependencies/articubot_one
[12.387s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/ament_index/resource_index/parent_prefix_path/articubot_one
[12.444s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/environment/ament_prefix_path.sh
[12.510s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/environment/ament_prefix_path.dsv
[12.558s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/environment/path.sh
[12.623s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/environment/path.dsv
[12.680s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/local_setup.bash
[12.740s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/local_setup.sh
[12.845s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/local_setup.zsh
[12.877s] -- Symlinking: /home/ros2_ws/install/articubot_one/share/articubot_one/local_setup.dsv
